Exercise Name,Body Part/Muscle,Equipment,Level,Sets and Reps
Seated Row,Back,Cable Machine,Intermediate,3 sets of 8-12
Cable Fly,Chest,Cable Machine,Intermediate,3 sets of 10-12
Face Pull,Shoulders,Cable Machine,Intermediate,3 sets of 10-12
Cable Crunch,Core,Cable Machine,Intermediate,3 sets of 15-20
Romanian Deadlift,Hamstrings,Barbell,Hard,4 sets of 6-10
Front Squat,Quads,Barbell,Hard,4 sets of 6-10
Power Clean,Full Body,Barbell,Hard,4 sets of 5-8
Snatch,Full Body,Barbell,Hard,4 sets of 5-8
Thruster,Full Body,Barbell,Hard,4 sets of 8-12
Dumbbell Fly,Chest,Dumbbells,Intermediate,3 sets of 10-12
Arnold Press,Shoulders,Dumbbells,Intermediate,3 sets of 8-12
Hammer Curl,Biceps,Dumbbells,Intermediate,3 sets of 10-12
Skull Crusher,Triceps,Dumbbells,Intermediate,3 sets of 10-12
Single-Leg Deadlift,Hamstrings,Dumbbells,Intermediate,3 sets of 8-12 per leg
Farmer’s Carry,Full Body,Dumbbells,Intermediate,3 sets of 30-60
Side Lunge,Quads,Bodyweight,Intermediate,3 sets of 10-12 per side
Reverse Crunch,Core,Bodyweight,Easy,3 sets of 15-20
Superman,Lower Back,Bodyweight,Easy,3 sets of 12-15
High Knees,Core,Bodyweight,Easy,3 sets of 20-30
Jumping Jacks,Full Body,Bodyweight,Easy,3 sets of 30-50
Handstand Push-Up,Shoulders,Bodyweight,Hard,4 sets of 5-10
Pistol Squat,Quads,Bodyweight,Hard,4 sets of 5-8 per leg
Muscle-Up,Back,Pull-Up Bar,Hard,4 sets of 5-8
Toes-to-Bar,Core,Pull-Up Bar,Hard,4 sets of 10-15
One-Arm Pull-Up,Back,Pull-Up Bar,Hard,4 sets of 3-5 per arm
Decline Push-Up,Chest,Bodyweight,Intermediate,3 sets of 10-15
Bulgarian Split Squat,Quads,Dumbbells,Intermediate,3 sets of 8-12 per leg
Chest Dip,Chest,Parallel Bars,Intermediate,3 sets of 8-12
Reverse Fly,Shoulders,Dumbbells,Intermediate,3 sets of 10-12
Plank with Shoulder Tap,Core,Bodyweight,Intermediate,3 sets of 20-30 taps
Wall Ball,Full Body,Medicine Ball,Intermediate,3 sets of 12-15
Medicine Ball Slam,Core,Medicine Ball,Intermediate,3 sets of 15-20
Battle Rope,Full Body,Battle Rope,Intermediate,3 sets of 30-60
Sled Push,Full Body,Sled,Hard,4 sets of 20-30 meters
Sled Pull,Back,Sled,Hard,4 sets of 20-30 meters
Tire Flip,Full Body,Tire,Hard,4 sets of 8-12
Clap Push-Up,Chest,Bodyweight,Hard,4 sets of 8-12
L-Sit,Core,Parallel Bars,Hard,4 sets of 20-30
Dragon Flag,Core,Bodyweight,Hard,4 sets of 8-12
Nordic Hamstring Curl,Hamstrings,Bodyweight,Hard,4 sets of 6-10
Single-Leg Calf Raise,Calves,Bodyweight,Intermediate,3 sets of 12-15 per leg
Seated Calf Raise,Calves,Machine,Intermediate,3 sets of 12-15
Lateral Raise,Shoulders,Dumbbells,Intermediate,3 sets of 10-12
Front Raise,Shoulders,Dumbbells,Intermediate,3 sets of 10-12
Shrug,Traps,Dumbbells,Intermediate,3 sets of 12-15
Concentration Curl,Biceps,Dumbbells,Intermediate,3 sets of 10-12
Kickback,Triceps,Dumbbells,Intermediate,3 sets of 10-12
Hip Abduction,Glutes,Machine,Intermediate,3 sets of 12-15
Hip Adduction,Inner Thighs,Machine,Intermediate,3 sets of 12-15
Leg Curl,Hamstrings,Machine,Intermediate,3 sets of 10-12
Leg Extension,Quads,Machine,Intermediate,3 sets of 10-12
Incline Bench Press,Chest,Barbell,Hard,4 sets of 6-10
Sumo Deadlift,Hamstrings,Barbell,Hard,4 sets of 6-10
Clean and Jerk,Full Body,Barbell,Hard,4 sets of 5-8
Overhead Squat,Quads,Barbell,Hard,4 sets of 6-10
Weighted Pull-Up,Back,Pull-Up Bar,Hard,4 sets of 6-10
Weighted Dip,Chest,Parallel Bars,Hard,4 sets of 6-10
Forearm Plank,Core,Bodyweight,Easy,3 x 30-60
Bench Dip,Triceps,Bench,Easy,3 x 10-15
Scissor Kicks,Core (Lower Abs),Bodyweight,Easy,3 x 20-30
Isometric Squat Hold,Quads,Bodyweight,Easy,3 x 30-60
Standing Calf Raise,Calves,Bodyweight,Easy,3 x 15-20
Single-Leg Glute Bridge,Glutes,Bodyweight,Intermediate,3 x 10-12 per leg
Dumbbell Front Squat,Quads,Dumbbells,Intermediate,3 x 10-12
Dumbbell Lateral Press,Shoulders,Dumbbells,Intermediate,3 x 10-12
Dumbbell Stiff-Leg Deadlift,Hamstrings,Dumbbells,Intermediate,3 x 10-12
Alternating Dumbbell Curl,Biceps,Dumbbells,Easy,3 x 10-12 per arm
Overhead Tricep Extension,Triceps,Dumbbell,Intermediate,3 x 10-12
Weighted Russian Twist,Core (Obliques),Dumbbell,Intermediate,3 x 20-30
Pendlay Row,Back,Barbell,Hard,4 x 6-10
Push Press,Shoulders,Barbell,Hard,4 x 6-8
EZ Bar Curl,Biceps,EZ Bar,Intermediate,3 x 8-12
Barbell Glute Bridge,Glutes,Barbell,Intermediate,3 x 10-12
Wide-Grip Pull-Up,Back,Pull-Up Bar,Hard,3 x 6-10
Hanging Knee Raise,Core (Lower Abs),Pull-Up Bar,Intermediate,3 x 12-15
Kettlebell Front Squat,Quads,Kettlebell,Intermediate,3 x 10-12
Kettlebell Turkish Get-Up,Full Body,Kettlebell,Hard,3 x 5-8 per side
Kettlebell Press,Shoulders,Kettlebell,Intermediate,3 x 10-12
Split Squat Jump,Quads,Bodyweight,Intermediate,3 x 12-15 per leg
Plank with Leg Lift,Core,Bodyweight,Intermediate,3 x 20-30 per leg
Wide-Grip Lat Pulldown,Back,Lat Pulldown Machine,Intermediate,3 x 8-12
Hack Squat,Quads,Hack Squat Machine,Intermediate,3 x 10-12
Cable Reverse Row,Back,Cable Machine,Intermediate,3 x 10-12
Cable Chest Press,Chest,Cable Machine,Intermediate,3 x 10-12
Rear Delt Cable Fly,Shoulders,Cable Machine,Intermediate,3 x 12-15
Weighted Cable Crunch,Core,Cable Machine,Intermediate,3 x 15-20
Barbell Stiff-Leg Deadlift,Hamstrings,Barbell,Hard,4 x 6-10
Hang Clean,Full Body,Barbell,Hard,4 x 5-8
Barbell Snatch,Full Body,Barbell,Hard,4 x 5-8
Dumbbell Thruster,Full Body,Dumbbells,Hard,3 x 10-12
Seated Dumbbell Press,Shoulders,Dumbbells,Intermediate,3 x 8-12
Reverse Grip Dumbbell Curl,Biceps,Dumbbells,Intermediate,3 x 10-12
Dumbbell Tricep Kickback,Triceps,Dumbbells,Easy,3 x 12-15
Single-Leg Romanian Deadlift,Hamstrings,Dumbbell,Hard,3 x 8-12 per leg
Decline Crunch,Core,Bodyweight,Intermediate,3 x 15-20
Prone Cobra,Lower Back,Bodyweight,Easy,3 x 12-15
Star Jump,Full Body,Bodyweight,Intermediate,3 x 20-30
Wall Handstand Push-Up,Shoulders,Bodyweight,Hard,4 x 5-10
Single-Leg Pistol Squat,Quads,Bodyweight,Hard,4 x 5-8 per leg
Hanging Windshield Wiper,Core (Obliques),Pull-Up Bar,Hard,4 x 10-15
Tricep Dip,Triceps,Parallel Bars,Intermediate,3 x 8-12
Dumbbell Rear Delt Raise,Shoulders,Dumbbells,Intermediate,3 x 12-15
Wall Ball Squat,Full Body,Medicine Ball,Intermediate,3 x 12-15
Medicine Ball Russian Twist,Core (Obliques),Medicine Ball,Intermediate,3 x 20-30
Double Under,Full Body,Jump Rope,Intermediate,3 x 30-50
Weighted Sled Push,Full Body,Sled,Hard,4 x 20-30 meters
Weighted Sled Pull,Back,Sled,Hard,4 x 20-30 meters
Tire Swing,Full Body,Tire,Hard,4 x 8-12
Explosive Push-Up,Chest,Bodyweight,Hard,4 x 8-12
Parallel Bar L-Sit,Core,Parallel Bars,Hard,4 x 20-30
Reverse Dragon Flag,Core,Bench,Hard,4 x 8-12
Kneeling Nordic Curl,Hamstrings,Bodyweight,Hard,4 x 6-10
Single-Leg Standing Calf Raise,Calves,Bodyweight,Intermediate,3 x 12-15 per leg
Standing Machine Calf Raise,Calves,Machine,Intermediate,3 x 12-15
Cable Lateral Raise,Shoulders,Cable Machine,Intermediate,3 x 12-15
Dumbbell Front Raise,Shoulders,Dumbbells,Intermediate,3 x 10-12
Barbell Shrug,Traps,Barbell,Intermediate,3 x 12-15
Spider Curl,Biceps,Dumbbells,Intermediate,3 x 10-12
Cable Tricep Overhead Extension,Triceps,Cable Machine,Intermediate,3 x 10-12
Hip Thrust Machine,Glutes,Machine,Intermediate,3 x 12-15
Inner Thigh Machine,Inner Thighs,Machine,Intermediate,3 x 12-15
Lying Leg Curl,Hamstrings,Machine,Intermediate,3 x 10-12
Quad Extension,Quads,Machine,Intermediate,3 x 10-12
Clean Pull,Full Body,Barbell,Hard,4 x 5-8
Plank Up-Down,Core,Bodyweight,Intermediate,3 x 20-30
Donkey Kick,Glutes,Bodyweight,Easy,3 x 12-15 per leg
Fire Hydrant,Glutes,Bodyweight,Easy,3 x 12-15 per leg
Dumbbell Side Bend,Core (Obliques),Dumbbell,Intermediate,3 x 15-20 per side
Cable Woodchopper,Core (Obliques),Cable Machine,Intermediate,3 x 15-20 per side
Barbell Landmine Press,Shoulders,Barbell,Intermediate,3 x 10-12
Landmine Squat,Quads,Barbell,Intermediate,3 x 10-12
Cable Kickback,Glutes,Cable Machine,Intermediate,3 x 12-15 per leg
Dumbbell Z-Press,Shoulders,Dumbbells,Hard,3 x 8-12
Cable Bicep Curl,Biceps,Cable Machine,Intermediate,3 x 10-12
Cable Tricep Pushdown,Triceps,Cable Machine,Intermediate,3 x 12-15
Single-Leg Box Squat,Quads,Box,Hard,3 x 8-12 per leg
Weighted Plank,Core,Weight Plate,Intermediate,3 x 30-60
Side Plank with Hip Dip,Core (Obliques),Bodyweight,Intermediate,3 x 20-30 per side
Dumbbell Clean,Full Body,Dumbbells,Hard,3 x 8-12
Barbell Rollout,Core,Barbell,Hard,4 x 10-15
Seated Leg Press,Quads,Leg Press Machine,Intermediate,3 x 10-12
Standing Cable Row,Back,Cable Machine,Intermediate,3 x 10-12
Incline Cable Fly,Chest,Cable Machine,Intermediate,3 x 10-12
Standing Face Pull,Shoulders,Cable Machine,Intermediate,3 x 12-15
Barbell Bench Pull,Back,Barbell,Hard,4 x 6-10
Weighted Superman,Lower Back,Weight Plate,Intermediate,3 x 12-15
Single-Arm Overhead Press,Shoulders,Dumbbell,Hard,3 x 8-12 per arm
Close-Grip Bench Press,Triceps,Barbell,Hard,4 x 6-10
Side Plank with Leg Raise,Core (Obliques),Bodyweight,Intermediate,3 x 20-30 per side
Dumbbell Romanian Deadlift,Hamstrings,Dumbbells,Intermediate,3 x 10-12
Cable Reverse Fly,Shoulders,Cable Machine,Intermediate,3 x 12-15
Single-Leg Hip Thrust,Glutes,Bench,Intermediate,3 x 10-12 per leg
Kneeling Cable Crunch,Core,Cable Machine,Intermediate,3 x 15-20
Dumbbell Arnold Press,Shoulders,Dumbbells,Intermediate,3 x 10-12
Weighted Burpee,Full Body,Dumbbells,Hard,4 x 10-15
Single-Arm Cable Row,Back,Cable Machine,Intermediate,3 x 10-12 per arm
Overhead Cable Tricep Extension,Triceps,Cable Machine,Intermediate,3 x 12-15
Weighted V-Up,Core,Weight Plate,Intermediate,3 x 12-15
Single-Leg Calf Raise with Dumbbell,Calves,Dumbbell,Intermediate,3 x 12-15 per leg
Cable Shoulder Press,Shoulders,Cable Machine,Intermediate,3 x 10-12
Decline Sit-Up,Core,Bench,Intermediate,3 x 15-20
Dumbbell Reverse Chop,Core (Obliques),Dumbbell,Intermediate,3 x 15-20 per side
Barbell Clean and Press,Full Body,Barbell,Hard,4 x 5-8
Single-Leg Plank,Core,Bodyweight,Intermediate,3 x 30-45 per leg
