Age,Weight,Goal,Exercise,Title,Type,Equipment,Level,Rating,Desc
32,86.06215776847688,2,HM Bridge,HM Bridge,Strength,2,1,6.286607142857143,
25,118.28789209779293,1,Cat-cow,Cat-cow,Strength,2,1,6.286607142857143,Cat-cow is a traditional yoga pose that is also popular in fitness and strength training. It targets spinal mobility and control of the vertebral column. It can be performed for time or reps as part of a dynamic warm-up or as a mobility or restorative exercise anytime. It can also work as part of a yoga or bodyweight sequence with other poses.
31,82.12922916119092,0,Hanging alternating single-leg raise,Hanging alternating single-leg raise,Strength,2,1,6.286607142857143,"The hanging alternating single-leg raise is an exercise targeting the abs, but which also works the lats and hip flexors. Rather than performing both legs at a time, you lift one and alternate with each rep. Leg raises are often performed for moderate to high reps, such as 8-12 reps or more, as part of ab-focused training. However, this difficult variation may require some time to build up to those rep ranges."
40,89.01137582230335,1,Holman Plate Hill Climber,Holman Plate Hill Climber,Strength,9,1,6.286607142857143,
57,110.24424125235137,0,Plank leg raise,Plank leg raise,Strength,2,1,6.286607142857143,"The plank leg raise is an isometric abdominal exercise that targets the muscles of the core, the deep core or transversus abdominis in particular. It also targets the muscles of the glutes and hips. It can be performed for time or reps in the ab-focused portion of any workout."
38,87.4548803253561,1,V-up,V-up,Strength,2,1,8.5,"The V-up is a bodyweight movement that targets the muscles of the abs, the rectus abdominis or ""six-pack"" muscles in particular. It is similar to a suitcase crunch, but the lower back lifts off the ground at the top of each rep. It can be performed for time or reps in the ab-focused portion of any workout."
33,62.91240099931993,1,Hanging Oblique Knee Raise,Hanging Oblique Knee Raise,Strength,2,1,9.0,"The hanging oblique crunch an abdominal exercise that targets both the rectus abdominus or “six-pack” muscles, and the oblique muscles. It can be performed hanging from a bar, or if grip strength is a limitation, by placing the elbows in ab straps. If hanging from a straight bar is uncomfortable to the wrists or shoulder, you can also perform them hanging with a neutral grip (palms facing one another)"
35,70.97171382365339,2,Holman Reverse Crunch to Hip Raise,Holman Reverse Crunch to Hip Raise,Strength,2,1,6.286607142857143,
41,71.69558483880276,0,Superhero burpee,Superhero burpee,Strength,2,1,6.286607142857143,"The superhero burpee is an advanced variation of the burpee exercise. The main difference between this and the standard burpee is that while on the floor, the hands are extended in front of the body like Superman taking flight. This increases the challenge to the upper back and shoulders. These can be performed for time or reps as part of any fat-loss or athleticism-focused workout or circuit."
43,77.81226808203185,1,HM Alternating Dumbbell Plank Row,HM Alternating Dumbbell Plank Row,Strength,4,1,6.286607142857143,
42,79.87522337357245,1,Plank up-down,Plank up-down,Strength,2,1,6.286607142857143,"The plank up-down is a variation of the plank push-up that ends in an elbow plank rather than with the chest on the ground. It involves transitioning between the two positions one arm at a time, rather than two. It puts more stress on the triceps and core than traditional planks. It can be performed for time or reps in any bodyweight workout or during the core-focused portion of any workout."
58,105.98474154519886,2,Cable Judo Flip,Cable Judo Flip,Strength,3,0,5.0,
46,74.45708993345332,2,Decline plate sit-up,Decline plate sit-up,Strength,1,1,6.286607142857143,"The decline plate sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout."
32,82.77622799089656,0,HM Hollow Hold,HM Hollow Hold,Strength,2,1,6.286607142857143,
18,93.74831909357366,1,Line-Drill Foot Work,Line-Drill Foot Work,Strength,2,1,6.286607142857143,
42,76.44081632081185,0,30 Seated Twist With PVC Pipe,30 Seated Twist With PVC Pipe,Strength,9,1,6.286607142857143,The seated bar twist is a core exercise aiming to strengthen the obliques.
24,108.55953693046331,1,Holman Elbow Plank to Stacked Plank Hip Drop,Holman Elbow Plank to Stacked Plank Hip Drop,Strength,2,1,6.286607142857143,
26,91.12175229638521,0,Crunch - Gethin Variation,Crunch - Gethin Variation,Strength,2,1,6.286607142857143,"The crunch is a popular core exercise targeting the rectus abdominis, or ""six-pack"" muscles, as well as the obliques. It has been the centerpiece of many ab-focused workouts, due to both its simplicity and the intense burn and mind-muscle connection it produces. It can be performed for time or reps as part of the ab-focused portion of any workout."
41,70.58312754546802,2,Holman Feet-Elevated Couch Hill Climber,Holman Feet-Elevated Couch Hill Climber,Strength,2,1,6.286607142857143,
18,99.98414398528797,1,Exercise ball bird dog,Exercise ball bird dog,Strength,5,1,6.286607142857143,"The exercise ball bird dog is a dynamic movement focusing on the glutes and the postural muscles of the upper back. When performing it, use an exercise ball that is tall enough to support your chest and core, but short enough to allow your hands and knees to reach the ground. It is slightly easier than a bodyweight bird dog and can work as a regression for that movement. It can be done for time or reps as part of a warm-up, paired with movements in a workout, or as a mobility or recovery exercise."
25,86.935341110135,0,MetaBurn Oblique Roll Crunch,MetaBurn Oblique Roll Crunch,Strength,2,1,6.286607142857143,
41,87.41191238800728,2,Holman Boat with Feet Push-Out and Overhead Press,Holman Boat with Feet Push-Out and Overhead Press,Strength,4,1,6.286607142857143,
28,83.67615638713102,2,FYR V-Up,FYR V-Up,Strength,2,1,6.286607142857143,"The V-up is a bodyweight movement that targets the muscles of the abs, the rectus abdominis or ""six-pack"" muscles in particular. It is similar to a suitcase crunch, but the lower back lifts off the ground at the top of each rep. It can be performed for time or reps in the ab-focused portion of any workout."
34,84.79083641748743,0,Double Kettlebell Swing,Double Kettlebell Swing,Strength,6,1,6.286607142857143,
25,103.57493967463685,1,Holman Alternating Diagonal Straight Plank,Holman Alternating Diagonal Straight Plank,Strength,2,1,6.286607142857143,
52,57.20870355319209,1,Partner plank band row,Partner plank band row,Strength,0,1,0.0,The partner plank band row is an abdominal exercise where two partners perform single-arm planks while pulling on the opposite ends of an exercise band. This technique can be done for time or reps in any ab-focused workout.
52,73.40539679173375,2,Holman Alternating Diagonal Straight Plank,Holman Alternating Diagonal Straight Plank,Strength,2,1,6.286607142857143,
50,55.28523546627225,1,Holman Weighted Pike,Holman Weighted Pike,Strength,9,1,6.286607142857143,
22,102.72723545232157,1,Exercise ball superman,Exercise ball superman,Strength,5,1,6.286607142857143,"The exercise ball superman is a slightly more advanced variation of the bodyweight superman exercise. It targets many muscles along the posterior or backside of the body, including the rear deltoids, trapezius, spinal erectors, glutes, and hamstrings. It can be done for time or reps as part of a warm-up, paired with movements in a workout, or as a mobility or recovery exercise."
59,69.06112983042095,1,Spider crawl,Spider crawl,Strength,2,1,9.2,"The spider crawl is a bodyweight exercise that involves crawling on the floor with the knees outside of the elbows. It is different from a leopard crawl in that the hips are higher, and it's different from a bear crawl because the knees are wider. It can be done as a full-body warm-up, in short bursts for power or circuit training, or for longer durations as cardiovascular conditioning."
56,112.8201286873219,2,Holman Plate Straight Plank Pike to Jack,Holman Plate Straight Plank Pike to Jack,Strength,9,1,6.286607142857143,
58,86.86049266615056,0,Crunches,Crunches,Strength,2,1,8.7,"The crunch is a popular core exercise targeting the rectus abdominis, or ""six-pack"" muscles, as well as the obliques. It has been the centerpiece of many ab-focused workouts, due to both its simplicity and the intense burn and mind-muscle connection it produces. It can be performed for time or reps as part of the ab-focused portion of any workout."
45,106.05248400402847,1,Holman Plate Reverse Plank Hill Climber,Holman Plate Reverse Plank Hill Climber,Strength,9,1,6.286607142857143,
24,118.52520049311728,2,Double crunch,Double crunch,Strength,2,1,6.286607142857143,"The double crunch is a bodyweight exercise focused on the muscles of the core, the rectus abdominis or ""six-pack"" muscles in particular. It's a very simple exercise that involves ""crunching"" the knees and elbows toward each other using the abdominal muscles, while keeping the back flat against the ground."
26,108.78522016195994,2,Holman Reverse Crunch to Hip Raise,Holman Reverse Crunch to Hip Raise,Strength,2,1,6.286607142857143,
25,110.68956320080665,0,Hanging Oblique Knee Raise,Hanging Oblique Knee Raise,Strength,2,1,9.0,"The hanging oblique crunch an abdominal exercise that targets both the rectus abdominus or “six-pack” muscles, and the oblique muscles. It can be performed hanging from a bar, or if grip strength is a limitation, by placing the elbows in ab straps. If hanging from a straight bar is uncomfortable to the wrists or shoulder, you can also perform them hanging with a neutral grip (palms facing one another)"
29,78.55891467553913,1,Single-arm bent-over rear delt fly,Single-arm bent-over rear delt fly,Strength,9,1,6.286607142857143,"The single-arm bent-over rear delt fly is a popular upper-body exercise that targets the muscles on the back of the shoulder joint, specifically the rear head of the deltoid. Since pressing movements build the front and (to a lesser degree) side deltoid heads, this move is often done to promote balanced shoulder development. It is usually performed for high reps, such as 10-15 reps per set or more, as part of a shoulder or upper-body workout."
51,88.62058166815379,1,Holman Straight Plank with Alternating Leg Kick-Under,Holman Straight Plank with Alternating Leg Kick-Under,Strength,2,1,6.286607142857143,
50,67.7721994830313,0,Plank Fire Hydrants,Plank Fire Hydrants,Strength,2,1,6.286607142857143,
40,63.7279169785417,0,HM Plank,HM Plank,Strength,2,1,6.286607142857143,
41,85.38555153742237,2,Spider plank jack,Spider plank jack,Strength,2,1,6.286607142857143,"The spider plank jack is a bodyweight core exercise that begins in a straight-arm plank, then combines a spider crunch and a plank jack into a single sequence. It can be performed as bodyweight core training or for conditioning in a fat-loss or athleticism-focused circuit."
54,91.65342857902944,2,Chin-up crunch,Chin-up crunch,Strength,2,1,6.286607142857143,The chin-up crunch is an exercise targeting the core and overall upper-body strength. It combines a chin-up with a knee raise or crunch to give extra emphasis to the core.
52,73.74898721273337,0,HM Cross-Over Crunch,HM Cross-Over Crunch,Strength,2,1,6.286607142857143,
57,89.86104624344503,1,MetaBurn Alternating Dumbbell Sit-Through,MetaBurn Alternating Dumbbell Sit-Through,Strength,4,1,6.286607142857143,
39,112.1222337759452,2,HM Side-Plank with Kick,HM Side-Plank with Kick,Strength,2,1,6.286607142857143,
44,88.97051093483563,2,MetaBurn Plank With Alternating Toe-Touch,MetaBurn Plank With Alternating Toe-Touch,Strength,2,1,6.286607142857143,
52,100.45691674173545,1,Spider crawl,Spider crawl,Strength,2,1,9.2,"The spider crawl is a bodyweight exercise that involves crawling on the floor with the knees outside of the elbows. It is different from a leopard crawl in that the hips are higher, and it's different from a bear crawl because the knees are wider. It can be done as a full-body warm-up, in short bursts for power or circuit training, or for longer durations as cardiovascular conditioning."
18,106.37204771505336,2,Knee-to-nose pulse,Knee-to-nose pulse,Strength,2,1,6.286607142857143,"The knee-to-nose pulse is a bodyweight exercise that targets the core by pulsing your knee toward your nose. It starts in a straight-arm plank position, and is similar to a mountain climber, but with a hold or pause in the bent-knee position."
52,119.211014736881,1,Dumbbell Fix Alternating Renegade Row,Dumbbell Fix Alternating Renegade Row,Strength,4,1,6.286607142857143,
54,92.22381815238857,1,Total Fitness Spider Crawl (Unweighted),Total Fitness Spider Crawl (Unweighted),Strength,2,1,6.286607142857143,"The spider crawl is a bodyweight exercise that involves crawling on the floor with the knees outside of the elbows. It is different from a leopard crawl in that the hips are higher, and it's different from a bear crawl because the knees are wider. It can be done as a full-body warm-up, in short bursts for power or circuit training, or for longer durations as cardiovascular conditioning."
31,106.47951042738103,1,FYR2 Dumbbell Crab Reach,FYR2 Dumbbell Crab Reach,Strength,4,1,6.286607142857143,
20,117.38545229884123,0,Holman Slow Weighted Double Pike,Holman Slow Weighted Double Pike,Strength,9,1,6.286607142857143,
18,116.10868079040914,0,HM Cross-Over Crunch,HM Cross-Over Crunch,Strength,2,1,6.286607142857143,
22,59.87572941443995,0,Holman Ninja Knee Hill Climber,Holman Ninja Knee Hill Climber,Strength,2,1,6.286607142857143,
43,78.44746157914653,1,Holman Hovering Plank Row,Holman Hovering Plank Row,Strength,4,1,6.286607142857143,
31,72.67930427747598,1,Taylor Exercise Ball Stir-The-Pot,Taylor Exercise Ball Stir-The-Pot,Strength,5,1,6.286607142857143,
56,56.08475104652445,0,HM Left Side Crunch,HM Left Side Crunch,Strength,2,1,6.286607142857143,
44,94.32685424376723,2,Cable Seated Crunch,Cable Seated Crunch,Strength,3,0,7.7,
26,101.51332292372015,1,HM Prison Sit-Up,HM Prison Sit-Up,Strength,2,1,6.286607142857143,
32,109.36896668268184,2,Hanging exercise ball leg raise,Hanging exercise ball leg raise,Strength,5,1,6.286607142857143,"The hanging exercise ball leg raise is an exercise targeting the abs and hip flexors. Instead of resting the forearms on the pads of an apparatus, it's performed hanging from a bar with an exercise ball held between the legs."
32,58.594382276389595,2,HM Cross-Over Crunch,HM Cross-Over Crunch,Strength,2,1,6.286607142857143,
43,111.35108531127057,1,Spider crawl,Spider crawl,Strength,2,1,9.2,"The spider crawl is a bodyweight exercise that involves crawling on the floor with the knees outside of the elbows. It is different from a leopard crawl in that the hips are higher, and it's different from a bear crawl because the knees are wider. It can be done as a full-body warm-up, in short bursts for power or circuit training, or for longer durations as cardiovascular conditioning."
59,95.00478945299773,1,Sit-Up - Gethin Variation,Sit-Up - Gethin Variation,Strength,2,1,6.286607142857143,"The sit-up is a popular bodyweight exercise focused on the abdominal muscles. It has also been used as part of military, tactical, and scholastic fitness tests for many years. It can be performed for time or reps, with the feet anchored or free, on flat ground or a bench."
30,99.27622945969566,2,Holman Feet-Elevated Straight Plank Toe-Tap Series,Holman Feet-Elevated Straight Plank Toe-Tap Series,Strength,2,1,6.286607142857143,
49,113.74368024782127,2,Holman Feet-Elevated Up-Down Elbow Plank,Holman Feet-Elevated Up-Down Elbow Plank,Strength,2,1,6.286607142857143,
56,93.73328897302758,0,Barbell Side Bend,Barbell Side Bend,Strength,1,0,7.0,
49,73.51061000048846,0,AM Ab Machine,AM Ab Machine,Strength,7,1,6.286607142857143,
21,107.75751319958619,1,Decline plate sit-up twist,Decline plate sit-up twist,Strength,9,1,6.286607142857143,"The decline plate sit-up twist is a weighted core exercise that works the obliques and rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout."
47,75.41414485365634,0,Holman Hands-Elevated Straight Plank Pike,Holman Hands-Elevated Straight Plank Pike,Strength,2,1,6.286607142857143,
54,52.39596775743704,0,Knee-to-nose pulse,Knee-to-nose pulse,Strength,2,1,6.286607142857143,"The knee-to-nose pulse is a bodyweight exercise that targets the core by pulsing your knee toward your nose. It starts in a straight-arm plank position, and is similar to a mountain climber, but with a hold or pause in the bent-knee position."
