Title,Type,Equipment,Level,Rating,Desc
Decline bar press sit-up,Strength,Barbell,Intermediate,8.5,"The decline bar press sit-up is a weighted core exercise targeting the abdominal muscles, particularly the lower abs. It also challenges the shoulders and upper back to move the weight. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout."
Bench barbell roll-out,Strength,Barbell,Beginner,8.3,"The bench barbell roll-out is a challenging exercise targeting the abdominals. It is similar to using an ab roller, but using a barbell allows for a wider grip. Placing the knees on a bench rather than the floor makes the move more difficult by increasing the challenge to the upper body."
Barbell Side Bend,Strength,Barbell,Beginner,7.0,
Seated bar twist,Strength,Barbell,Intermediate,4.7,"The seated bar twist is a core exercise meant to strengthen the obliques. It is often performed for high reps with relatively light weight, such as an empty barbell, a lightweight fixed-weight bar, or even a PVC pipe. It can be performed during a workout, at the end of a workout, or outside of the gym to build core strength and resiliency."
Single-arm landmine pull and press,Strength,Barbell,Intermediate,6.286607142857143,"The single-arm landmine pull and press is an explosive rotational movement using a barbell anchored in a landmine device. It combines a pull off the floor with rotation and finishes with a press. It is usually performed for low reps per set with an emphasis on speed and form, not moving heavy weight."
Barbell Ab Roll Out - Gethin Variation,Strength,Barbell,Intermediate,6.286607142857143,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core."
30 Barbell Floor Wiper,Strength,Barbell,Intermediate,6.286607142857143,"The barbell floor wiper is a core exercise in which the barbell is held in the locked-out position of a floor press, and the hips and legs are rotated side to side. It targets the oblique muscles of the lateral abdomen, but is also seriously challenging to the deep core and rectus abdominis or ""six-pack"" muscles."
30 Barbell Roll-Out,Strength,Barbell,Intermediate,6.286607142857143,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core."
Decline plate sit-up,Strength,Barbell,Intermediate,6.286607142857143,"The decline plate sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout."
KV Barbell Hip Thrust,Strength,Barbell,Intermediate,6.286607142857143,
Advanced Kettlebell Windmill,Strength,Kettlebells,Beginner,8.3,
Kettlebell Windmill,Strength,Kettlebells,Intermediate,7.7,"The single-kettlebell windmill is a dynamic kettlebell exercise emphasizing core strength and shoulder and hip mobility and stability. It is often used as a functional warm-up or for multi-directional strength work. It doesn't work as well in a metcon or conditioning setting, and shouldn't be performed under intense fatigue."
Kettlebell Pass Between The Legs,Strength,Kettlebells,Beginner,7.3,
Kettlebell 3-point leg extension,Strength,Kettlebells,Intermediate,0.0,"The kettlebell 3-point leg extension is a dynamic core exercise performed around and over a kettlebell or other short, stationary object. It is similar in some ways to a V-up or reverse crunch, but targets both the obliques and the rectus abdominis or ""six-pack"" muscles. It can be performed for reps or for time, usually in dedicated ab training or as part of a kettlebell and bodyweight circuit workout."
Double Kettlebell Swing,Strength,Kettlebells,Intermediate,6.286607142857143,
Burpee over kettlebell,Strength,Kettlebells,Intermediate,6.286607142857143,"The burpee over kettlebell is a more advanced version of a popular conditioning exercise. If you're performing a circuit that already has both burpees and kettlebell movements, it's a simple way to provide a novel stimulus to the muscles of the lower body and create a more athletic style of training."
Kettlebell toe-touch,Strength,Kettlebells,Intermediate,6.286607142857143,"The kettlebell toe-touch is a more difficult version of a highly popular abdominal movement usually done for high reps. The simple addition of a weight makes the toe-touch far more difficult, providing a different stimulus to the core during training."
Kettlebell swing,Strength,Kettlebells,Intermediate,6.286607142857143,"The kettlebell swing is a popular lower-body exercise emphasizing the hamstrings, glutes, and back muscles. It is often used to train explosive power, for aerobic or cardiovascular conditioning, in circuit training, or as an accessory movement for the deadlift."
Two-way swing,Strength,Kettlebells,Intermediate,6.286607142857143,"The two-way kettlebell swing is an exercise that alternates a chest-height kettlebell swing (sometimes called a ""Russian"" or ""hardstyle"" swing) with an overhead kettlebell swing (sometimes called an ""American"" swing). Both swing variations work many of the same muscles, such as the hamstrings, glutes, and core, but because the weight must travel farther in the overhead swing, it's slightly more metabolically demanding and works the upper back and shoulders more. This combo can be performed for time or reps and works especially well in circuit-style or full-body training. If you can't perform the overhead swing without lower back or shoulder pain, just perform the chest-height swing."
Kettlebell crab reach,Strength,Kettlebells,Intermediate,6.286607142857143,"The kettlebell crab reach is a kettlebell pressing exercise in which the lifter presses a kettlebell overhead while in a modified single-arm bridge position. The simple addition of a weight makes the reach far more difficult, challenging the muscles of the back, shoulders, glutes, and core."
Taylor Single-Arm Kettlebell Swing,Strength,Kettlebells,Intermediate,6.286607142857143,
Holman Kettlebell Up to Elbow Down,Strength,Kettlebells,Intermediate,6.286607142857143,
FYR2 Double-Kettlebell Ski,Strength,Kettlebells,Intermediate,6.286607142857143,
FYR2 Kettlebell Hike,Strength,Kettlebells,Intermediate,6.286607142857143,
FYR2 Kettlebell Cross-Body Catch,Strength,Kettlebells,Intermediate,6.286607142857143,
FYR2 Kettlebell Duck Walk,Strength,Kettlebells,Intermediate,6.286607142857143,
FYR2 Kettlebell Get-Up Reach,Strength,Kettlebells,Intermediate,6.286607142857143,
FYR2 Kettlebell Juggle,Strength,Kettlebells,Intermediate,6.286607142857143,
FYR2 Squat-Clean-Alternating-Press Complex,Strength,Kettlebells,Intermediate,6.286607142857143,
Dumbbell V-Sit Cross Jab,Strength,Dumbbell,Intermediate,9.3,"The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge."
Dumbbell spell caster,Strength,Dumbbell,Beginner,9.3,"The dumbbell spell caster is an exercise that primarily targets the abdominal muscles such as the obliques. However, it also works shoulders, back, hips, and legs, and demands all of those muscles work together in a coordinated motion. It is usually performed with relatively light weights for moderate to high reps, at least 8-12 reps per side. Make sure to only use a weight you can control."
Dumbbell side bend,Strength,Dumbbell,Intermediate,8.6,"The dumbbell side bend is a popular exercise for targeting the oblique muscles of the abdomen. It is usually performed for relatively high reps, at least 8-12 reps per set or more. It can be performed one side at a time or alternating sides."
Dumbbell crunch,Strength,Dumbbell,Intermediate,6.286607142857143,"The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training."
Dumbbell Fix Dumbbell Sprawl,Strength,Dumbbell,Intermediate,6.286607142857143,
Dumbbell Fix Alternating Renegade Row,Strength,Dumbbell,Intermediate,6.286607142857143,
Dumbbell Fix Dumbbell Mountain Climber,Strength,Dumbbell,Intermediate,6.286607142857143,
Dumbbell Fix Dumbbell Russian Twist,Strength,Dumbbell,Intermediate,6.286607142857143,
Dumbbell Fix Dumbbell Pull-Over,Strength,Dumbbell,Intermediate,6.286607142857143,
Dumbbell Fix Dumbbell Sit-Up,Strength,Dumbbell,Intermediate,6.286607142857143,
Dumbbell Fix Dumbbell Front Squat,Strength,Dumbbell,Intermediate,6.286607142857143,
Dumbbell Fix Full Man Maker,Strength,Dumbbell,Intermediate,6.286607142857143,
Dumbbell T-hold,Strength,Dumbbell,Intermediate,6.286607142857143,"The dumbbell T-hold is a static exercise that primarily targets the obliques, although it also works the shoulders and upper back. It involves holding a dumbbell in the air while in a side plank position. It is usually performed for timed holds, although it can be performed dynamically for reps as a plank with dumbbell rotation."
Dumbbell hollow-body floor press,Strength,Dumbbell,Intermediate,6.286607142857143,The dumbbell hollow-body floor press combines upper-body strength and core work in one move.
Dumbbell crusher,Strength,Dumbbell,Intermediate,6.286607142857143,"The dumbbell crusher is a dumbbell complex that combines a squat with a dumbbell curl, followed by a triceps press. It targets the legs, glutes, biceps, shoulders, and triceps in a single sequence, making it a great way to burn serious calories and hit a lot of muscles in a short period of time. The upper-body movements will determine the amount of weight you can effectively use."
Dumbbell Crunch - Gethin Variation,Strength,Dumbbell,Intermediate,6.286607142857143,"The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training."
Single-arm dumbbell crunch,Strength,Dumbbell,Intermediate,6.286607142857143,"The single-arm dumbbell crunch is a more difficult version of a highly popular abdominal movement. Adding a weight to one side makes the crunch far more difficult to your rectus abdominis or ""six-pack"" muscles, as well as the obliques and deep core muscles."
HM Alternating Dumbbell Plank Row,Strength,Dumbbell,Intermediate,6.286607142857143,
Dumbbell straight-legged hip raise,Strength,Dumbbell,Intermediate,6.286607142857143,The dumbbell straight-legged hip raise works the hips and glutes. It requires and teaches body control and coordination.
Seated leg tuck with dumbbell,Strength,Dumbbell,Intermediate,6.286607142857143,The seated leg tuck with dumbbell is an ab exercise requiring only a bench and a dumbbell. It's commonly performed for high reps as a burnout at the end of a core workout.
Dumbbell V-sit cross jab-,Strength,Dumbbell,Intermediate,6.286607142857143,"The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge."
30 Hanging Leg Raise With Dumbbell,Strength,Dumbbell,Intermediate,6.286607142857143,
Dumbbell Get-Up Sit-Up,Strength,Dumbbell,Expert,6.286607142857143,
Holman Right Side Plank with Left Triceps Press,Strength,Dumbbell,Intermediate,6.286607142857143,
Holman Left Side Plank with Right Triceps Press,Strength,Dumbbell,Intermediate,6.286607142857143,
Holman Boat with Feet Push-Out and Overhead Press,Strength,Dumbbell,Intermediate,6.286607142857143,
Holman Hovering Plank Row,Strength,Dumbbell,Intermediate,6.286607142857143,
Holman Weighted Seated Killer Abs to Russian Twist,Strength,Dumbbell,Intermediate,6.286607142857143,
Holman Straight Plank Dumbbell Reach-Under,Strength,Dumbbell,Intermediate,6.286607142857143,
Holman Straight-Arm Side Plank Overhead Press to Chest Press,Strength,Dumbbell,Intermediate,6.286607142857143,
Holman Weighted Burpee to Pike,Strength,Dumbbell,Intermediate,6.286607142857143,
Holman Straight-Legged Boat Chest Press,Strength,Dumbbell,Intermediate,6.286607142857143,
Holman Weighted Burpee to Side Delt Raise,Strength,Dumbbell,Intermediate,6.286607142857143,
Holman Heavy Double Pike,Strength,Dumbbell,Intermediate,6.286607142857143,
Holman Heavy Double Split Pike,Strength,Dumbbell,Intermediate,6.286607142857143,
MetaBurn Alternating Dumbbell Sit-Through,Strength,Dumbbell,Intermediate,6.286607142857143,
MetaBurn Alternating Plank Row With Dumbbell Pull-Through,Strength,Dumbbell,Intermediate,6.286607142857143,
MetaBurn Alternating Plank Row With Push-Up,Strength,Dumbbell,Intermediate,6.286607142857143,
MetaBurn Dumbbell Russian Twist,Strength,Dumbbell,Intermediate,6.286607142857143,
MetaBurn Dumbbell Toe-Touch,Strength,Dumbbell,Intermediate,6.286607142857143,
MetaBurn Plank To Alternating Row,Strength,Dumbbell,Intermediate,6.286607142857143,
Standing dumbbell knee crunch-,Strength,Dumbbell,Intermediate,6.286607142857143,"The standing dumbbell knee crunch is a great way to train the abs while standing up. Additionally, the deltoids are worked because the lifter holds a pair of dumbbells overhead throughout."
MetaBurn Plank With Dumbbell Rotation,Strength,Dumbbell,Intermediate,6.286607142857143,
FYR2 Dumbbell Crab Reach,Strength,Dumbbell,Intermediate,6.286607142857143,
FYR2 Dumbbell Man-Maker,Strength,Dumbbell,Intermediate,6.286607142857143,
FYR2 Dumbbell Sit-Up Reach,Strength,Dumbbell,Intermediate,6.286607142857143,
FYR2 Loaded Beast Sprawl,Strength,Dumbbell,Intermediate,6.286607142857143,
FYR2 Loaded to Unloaded Beast,Strength,Dumbbell,Intermediate,6.286607142857143,
Lying Leg Pullover,Strength,Dumbbell,Intermediate,6.286607142857143,
Landmine twist,Strength,Other,Intermediate,9.5,"The landmine twist is a rotational abdominal movement performed using an angled barbell anchored at floor level in a landmine device. It can also be performed by sticking a barbell in the corner of a room, preferably in a towel to protect the walls. It targets the deep muscles of the core, including both the obliques and the transversus abdominis. It can be done fast or slow, for time or reps, either in traditional muscle-focused rep ranges such as 8-12 reps per side or for higher rep ranges."
Suspended ab fall-out,Strength,Other,Intermediate,9.3,"The suspended ab fall-out is a dynamic abdominal exercise utilizing a suspension strap system or gymnastic rings. It is similar in form to an ab roller, but can more easily be scaled to be more or less difficult. It targets the muscles of the rectus abdominis or ""six-pack"" muscles, as well as the deep core muscles. It can be trained for low reps for strength or higher reps for muscle definition."
Decline reverse crunch,Strength,Other,Intermediate,9.2,"The decline reverse crunch is a popular bodyweight exercise targeting the abdominal muscles, particularly the lower abs. It is usually performed for high reps, such as 10-15 reps per set or more, as part of the ab-focused portion of a workout."
Plate Twist,Strength,Other,Beginner,9.0,
Weighted Crunches,Strength,Other,Intermediate,8.9,"The weighted suitcase crunch is a weighted version of a popular abdominal training exercise. The simple addition of a weight makes the suitcase crunch far more difficult, helping build the ""six pack"" muscles and providing a different stimulus to the core during training."
Ab Roller,Strength,Other,Intermediate,8.9,"The ab wheel roll-out is an exercise targeting the abdominals, often with an inexpensive wheel device with a handle on either side. Many trainers and strength coaches claim it's one of, if no the best exercise for developing strength in the midsection. Beginners may have to start with a limited range of motion or just wheel planks."
Otis-Up,Strength,Other,Intermediate,8.8,"The Otis-up is a weighted exercise focusing on the abdominal muscles, as well as the shoulders to a lesser degree. It primarily targets the rectus abdominus or “six-pack” muscles, but also involves the obliques and deep core muscles. It is normally performed on a decline bench holding a weight plate, but can also be performed with a dumbbell, kettlebell, or other weight."
Captain's chair knee raise,Strength,Other,Intermediate,8.6,"The captain's chair knee raise is a bodyweight exercise that targets the abs. It is performed on an apparatus that allows the forearms to rest on pads and the upright torso to hang freely. Knee raises are often performed for moderate to high reps, such as 8-12 reps or more, as part of ab-focused training."
Sledgehammer swing,Plyometrics,Other,Intermediate,8.6,The sledgehammer swing is an exercise working the abdominals and numerous other muscles. The sledgehammer is slammed from overhead onto a tire which absorbs the impact and causes the hammer to bounce back up. It can be performed for time or reps as part of a functional fitness or athleticism-focused workout.
Decline bar press sit-up,Strength,Barbell,Intermediate,8.5,"The decline bar press sit-up is a weighted core exercise targeting the abdominal muscles, particularly the lower abs. It also challenges the shoulders and upper back to move the weight. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout."
Pallof press,Strength,Other,Intermediate,8.4,"The Pallof press is an isometric exercise that trains core stability. It involves resisting rotation from a cable or band, developing what is sometimes called ""anti-rotation"" core strength. It is most often seen in programs for athletes who compete in sports that test strength, power, and functional movements. It can be trained in timed holds or for reps by pressing the cable or band away from the body."
Weighted Sit-Ups - With Bands,Strength,Other,Intermediate,8.0,"The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs."
Suitcase crunch,Strength,Other,Intermediate,0.0,"The suitcase crunch is a bodyweight movement that targets the muscles of the abs, the rectus abdominis or ""six-pack"" muscles in particular. It is similar to a V-up, but the lower back stays flat against the ground. It can be performed for time or reps in the ab-focused portion of any workout."
FYR Rope Jumping,Strength,Other,Intermediate,6.286607142857143,"Jumping rope is classic conditioning exercise that is popular with everyone from children to boxers to CrossFit athletes. It targets many different muscles, including the calves, glutes, shoulders, and upper back, and is great for everything from fat loss to improving overall athletic performance."
Barbell press sit-up,Strength,Other,Intermediate,6.286607142857143,"The barbell press sit-up is a weighted exercise focusing on the abdominal muscles, as well as the shoulders to a lesser degree. It primarily targets the rectus abdominis or ""six-pack"" muscles, but also involves the obliques and deep core muscles. It can be performed on the floor with the feet anchored or unanchored, or on a decline or other bench. It is similar to the Otis-up, which is performed with a weight plate."
Single-arm bent-over rear delt fly,Strength,Other,Intermediate,6.286607142857143,"The single-arm bent-over rear delt fly is a popular upper-body exercise that targets the muscles on the back of the shoulder joint, specifically the rear head of the deltoid. Since pressing movements build the front and (to a lesser degree) side deltoid heads, this move is often done to promote balanced shoulder development. It is usually performed for high reps, such as 10-15 reps per set or more, as part of a shoulder or upper-body workout."
Captain's chair leg raise,Strength,Other,Intermediate,6.286607142857143,"The captain's chair leg raise is a bodyweight exercise that targets the abs. It is performed on an apparatus that allows the forearms to rest on pads and the upright torso to hang freely. Leg raise variations are often performed for moderate to high reps, such as 8-12 reps or more, as part of ab-focused training."
Shoulder-Elevated One-Leg Hip Thrusts,Strength,Other,Intermediate,6.286607142857143,
Ab Twist - Gethin Variation,Strength,Other,Intermediate,6.286607142857143,"The cross-body sit-up is a bodyweight exercise targeting the ab muscles, the obliques and rectus abdominis or ""six-pack"" muscles in particular. It involves bringing the opposite-side knee and elbow together, usually alternating sides with each rep. It can be performed for time or reps as part of the ab-focused portion of any workout."
Weighted Crunch - Gethin Variation,Strength,Other,Intermediate,6.286607142857143,"The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs."
Ab Wheel Roll-Out - Gethin Variation,Strength,Other,Intermediate,6.286607142857143,"The ab wheel roll-out is an exercise targeting the abdominals, often with an inexpensive wheel device with a handle on either side. Many trainers and strength coaches claim it's one of, if no the best exercise for developing strength in the midsection. Beginners may have to start with a limited range of motion or just wheel planks."
Bench crunch,Strength,Other,Intermediate,6.286607142857143,"The bench crunch is a popular ab exercise performed lying on a bench. It is largely similar to the same exercise performed on the floor, but being able to press the lower back into the bench pad can help reinforce proper form and increase the burn in the abs. Like most crunch variations, it is usually performed for moderate to high reps, such as 8-12 reps per set or more."
Decline plate sit-up twist,Strength,Other,Intermediate,6.286607142857143,"The decline plate sit-up twist is a weighted core exercise that works the obliques and rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout."
Reverse ab roll-out,Strength,Other,Intermediate,6.286607142857143,"The reverse ab roll-out is an exercise targeting the abdominals. It's a twist on the ab wheel roll-out, and is similar to a body saw exercise, only performed on a foam roller. Instead of your arms moving and your lower body remaining stationary, your lower body moves and your arms remain stationary. Beginners may need to use a limited range of motion."
30 Seated Twist With PVC Pipe,Strength,Other,Intermediate,6.286607142857143,The seated bar twist is a core exercise aiming to strengthen the obliques.
Suspended crunch-,Strength,Other,Intermediate,6.286607142857143,"The suspended crunch is an abdominal exercise performed with the feet in the stirrups of a suspension strap system. It targets the muscles of the core, most prominently the rectus abdominis or ""six-pack"" muscles, but also taxes the shoulders and deep core muscles."
Suspended oblique crunch,Strength,Other,Intermediate,6.286607142857143,"The suspended oblique crunch is an abdominal exercise performed with the feet in the stirrups of a suspension strap system. It targets the muscles of the core, most prominently the obliques, but also the rectus abdominis or ""six-pack"" muscles, the shoulders, and deep core muscles."
Weighted sit-up,Strength,Other,Intermediate,6.286607142857143,"The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs."
30 Decline Press Sit-Up,Strength,Other,Intermediate,6.286607142857143,The decline bar press sit-up is a core and upper body exercise targeting the lower abdominals and shoulders.
Holman Towel Reverse Plank Alternating Heel Pull-in,Strength,Other,Intermediate,6.286607142857143,
Holman Boat with Weighted Cross Punch,Strength,Other,Intermediate,6.286607142857143,
Holman Weighted Hook Punch,Strength,Other,Intermediate,6.286607142857143,
Holman Weighted Traveling Punch,Strength,Other,Intermediate,6.286607142857143,
Holman Weighted Uppercut Punch,Strength,Other,Intermediate,6.286607142857143,
Holman Slow Weighted Double Pike,Strength,Other,Intermediate,6.286607142857143,
Holman Plate Straight Plank Reach,Strength,Other,Intermediate,6.286607142857143,
Holman Plate Elbow Plank Jack to Straight Plank Jack,Strength,Other,Intermediate,6.286607142857143,
Holman Plate Hill Climber,Strength,Other,Intermediate,6.286607142857143,
Holman Plate Reverse Plank Hill Climber,Strength,Other,Intermediate,6.286607142857143,
Holman Plate Straight Plank Pike to Jack,Strength,Other,Intermediate,6.286607142857143,
Holman Plate In-and-Out Push-Up,Strength,Other,Intermediate,6.286607142857143,
Holman Plate Burpee,Strength,Other,Intermediate,6.286607142857143,
Holman Plate Elbow Plank Reach,Strength,Other,Intermediate,6.286607142857143,
Holman Elbow Plank to Renegade Row,Strength,Other,Intermediate,6.286607142857143,
Holman Straight Plank Weighted Hand Hill Climber,Strength,Other,Intermediate,6.286607142857143,
Holman Weighted Left Side Diagonal Pike,Strength,Other,Intermediate,6.286607142857143,
Holman Weighted Right Side Diagonal Pike,Strength,Other,Intermediate,6.286607142857143,
Holman Weighted W-Boat to Overhead Press,Strength,Other,Intermediate,6.286607142857143,
Holman Weighted Kneeling Lift,Strength,Other,Intermediate,6.286607142857143,
Holman Hips-Up Weighted Pull-Over,Strength,Other,Intermediate,6.286607142857143,
Holman Weighted Cross Punch,Strength,Other,Intermediate,6.286607142857143,
Holman Straight-Leg Boat Hover Chest Press,Strength,Other,Intermediate,6.286607142857143,
Holman Weighted Pike,Strength,Other,Intermediate,6.286607142857143,
Holman Feet-Elevated Wax-On Wax-Off,Strength,Other,Intermediate,6.286607142857143,
Holman Elbow Plank to Towel Pike,Strength,Other,Intermediate,6.286607142857143,
Holman Seated Killer Abs Overhead Press,Strength,Other,Intermediate,6.286607142857143,
Holman Straight Plank Alternating Weighted Open,Strength,Other,Intermediate,6.286607142857143,
Holman Weighted Killer Abs with Overhead Press,Strength,Other,Intermediate,6.286607142857143,
Holman Weighted Split-Leg Pike,Strength,Other,Intermediate,6.286607142857143,
Holman Towel Reverse Plank Heel Pull-in,Strength,Other,Intermediate,6.286607142857143,
Stick Twist,Strength,Other,Intermediate,6.286607142857143,
Roc Everest,Cardio,Other,Intermediate,6.286607142857143,
Standing cable low-to-high twist,Strength,Cable,Intermediate,9.3,"The standing cable low-to-high twist is a core exercise targeting the upper abdominals and the obliques. Take care to perform it with control, as opposed to violent twisting which can injure the back. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout."
Single-arm high-cable side bend,Strength,Cable,Intermediate,9.1,The single-arm high-cable side bend is an exercise targeting the obliques using a cable stack machine.
Kneeling cable oblique crunch,Strength,Cable,Intermediate,9.0,"The kneeling cable oblique crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the obliques and rectus abdominis or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed for moderate to high reps, such as 8-12 reps per set or higher."
Kneeling cable crunch,Strength,Cable,Intermediate,8.9,"The kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the rectus abdominis or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps, such as 8-12 reps per set or higher."
Rope Crunch,Strength,Cable,Intermediate,8.6,"The kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the rectus abdominus or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps like 8-12 reps per set or higher."
Standing cable crunch,Strength,Cable,Intermediate,8.6,"The standing cable crunch is a popular core isolation exercise using a rope attachment. It primarily targets the rectus abdominis or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps, such as 8-12 reps per set or higher."
Bosu Ball Cable Crunch With Side Bends,Strength,Cable,Beginner,8.5,
Standing Cable Wood Chop,Strength,Cable,Intermediate,8.2,The standing cable high-to-low twist is a core exercise targeting the lower abdominals and the obliques.
Cable reverse crunch,Strength,Cable,Beginner,8.2,"The cable reverse crunch is performed on the ground facing away from a high pulley, which helps target the lower abdominals specifically."
Cable Russian Twists,Strength,Cable,Beginner,8.1,
Pallof press with rotation,Strength,Cable,Intermediate,7.9,The Pallof press with rotation is a dynamic variation of the Pallof press that incorporates weighted rotation away from the torso using resistance from a cable pulley. It is intended to build abdominal strength and teach proper bracing. It can be performed for time or for reps in the core-focused portion of any workout.
Cable Seated Crunch,Strength,Cable,Beginner,7.7,
Cable Judo Flip,Strength,Cable,Beginner,5.0,
Exercise Ball Cable Crunch - Gethin Variation,Strength,Cable,Intermediate,6.286607142857143,"The exercise ball crunch is a popular gym exercise targeting the abdominals. Unlike crunches on the floor or a bench, by using a ball, you can increase the range of motion and both stretch and contract the abs on every rep. The ball crunch can be performed for low reps with a slower tempo, focusing on a hard contraction, or for higher reps."
Standing cable high-to-low twist,Strength,Cable,Intermediate,6.286607142857143,"The standing cable high-to-low twist is a core exercise targeting the lower abdominals and the obliques. Take care to perform it with control, as opposed to violent twisting which can injure the back. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout."
Bent-Over Reverse Cable Fly,Strength,Cable,Intermediate,6.286607142857143,
Standing Cable Crunch - Gethin Variation,Strength,Cable,Intermediate,6.286607142857143,"The standing cable crunch is a popular core isolation exercise using a rope attachment. It primarily targets the rectus abdominus or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps like 8-12 reps per set or higher."
